2bwm 0.2-2
rxvt-unicode-patched 9.22-8
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.16-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl2 2.0.5-3
sdl2_gfx 1:1.0.1-1
sdl2_image 2.0.1-1
sdl2_mixer 2.0.1-1
sdl2_ttf 2.0.14-1
sdl_image 1.2.12-3
sdl_mixer 1.2.12-4
sdl_sound 1.0.3-5
sdl_ttf 2.0.11-3
sed 4.4-1
semver 5.3.0-1
sfml 2.4.1-2
shadow 4.4-3
shared-mime-info 1.8-1
sip 4.19-1
smartmontools 6.5-1
smbclient 4.5.4-1
smpeg 0.4.5-2
smpeg2 1:2.0.0-2
snappy 1.1.3-2
solid 5.31.0-1
sonnet 5.31.0-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
source-highlight 3.1.8-11
speech-dispatcher 0.8.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.16.2-1
sshfs 2.8-1
startup-notification 0.12-4
steam 1.0.0.54-1
steam-native-runtime 1.0.0.54-2
stfl 0.24-2
stow 2.2.2-2
sudo 1.8.19.p2-1
sxhkd 0.5.7-1
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
t1lib 5.1.2-5
taglib 1.11.1-1
talloc 2.1.8-1
tamsyn-font 1.11-1
tamzen-font-git 73.7ac8586-1
tar 1.29-2
tdb 1.3.12-1
teamviewer 12.0.71510-6
termite 12-1
termite-terminfo 12-1
tevent 1:0.9.31-1
texinfo 6.3-1
texlive-bin 2016.41290-10
texlive-core 2016.42515-2
texstudio 2.12.2-1
thefuck 3.14-1
thermald 1.5.4-2
thin-provisioning-tools 0.6.3-1
thunar 1.6.11-1
tinyxml 2.6.2-5
tmux 2.3-1
toilet 0.3-1
traceroute 2.1.0-1
tslib 1.5-1
ttf-dejavu 2.37-1
ttf-ms-fonts 2.0-10
txtw-git 13-1
